X,Grid,Year,site,mgmt,camtype,trapnights,avgprecip,pctsavanna,riverkm_perkm2,roadkm_perkm2,distboundarykm,distedgekm,avg_FRP,prey_det,preyper100tn,logprey,LionTrigs,human_occ,livest_occ,lion_occ,competitor_occ
101,N3,2017,PN,HC,WF,86,29,0.85,3723.432996,4.295521975,6.026198421,22.07035387,6.55,76,88.37209302,4.48155623,0,0.255240043,0.999989005,0.402511353,1
102,N4,2017,PN,HC,IR,85,29,0.76,4661.806732,5.796829653,3.162948669,29.39614991,1.2,114,134.1176471,4.898717378,1,0.255240043,0.999989005,1,1
103,N5,2017,ARL,NP,WF,85,28.75,0.92,2996.903708,4.757599586,0.792549466,28.44273234,7.5,14,16.47058824,2.801576259,0,0.042670873,0.102721367,0.402511353,1
104,N7,2017,ARL,NP,WF,94,29,0.92,1736.981388,5.46697677,9.922356642,13.8752776,0,22,23.40425532,3.152917857,0,0.042670873,0.102721367,0.402511353,1
105,N8,2017,ARL,NP,IR,92,29,0.96,1270.000299,2.921923018,10.89612629,10.89612629,13.7,17,18.47826087,2.916594953,0,0.042670873,0.102721367,0.46454578,1
106,N9,2017,ARL,NP,IR,91,29,1,794.3437927,3.953443027,6.193973506,13.35757394,0,28,30.76923077,3.42651519,0,0.042670873,0.102721367,0.46454578,1
107,O1,2017,PCN,HC,WF,86,30.33333333,0.84,3643.54397,6.291391981,8.095400949,7.709668733,20.25,48,55.81395349,4.022023901,0,0.318177791,0.999989005,0.402511353,1
108,O10,2017,ARL,NP,IR,94,29.75,0.8,2338.650116,8.403952226,6.870874414,11.23497854,12.5,325,345.7446809,5.845700586,1,0.042670873,0.102721367,1,0.148162934
109,O11,2017,ARL,NP,IR,94,29.5,0.833333333,2004.288977,6.917101824,4.390514205,4.390514205,6.05,47,50,3.912023005,0,1,0.102721367,0.46454578,1
110,O12,2017,ARL,NP,IR,94,29.5,0.764705882,2272.531165,4.367150623,3.541267632,3.541267632,6.5875,126,134.0425532,4.898157311,0,0.042670873,0.102721367,0.46454578,1
111,O13,2017,ARL,NP,IR,95,30,0.947368421,1098.277002,9.515088731,1.346688993,3.409476499,4.04,6,6.315789474,1.843052764,0,1,1,0.46454578,0.097798667
112,O2,2017,PCN,HC,IR,86,30,1,3226.568329,4.67315948,5.758921509,16.70995627,0,37,43.02325581,3.761740802,0,0.318177791,0.999989005,0.46454578,1
113,O3,2017,PCN,HC,IR,86,30,0.92,5108.444531,5.723229536,3.813880102,25.96568002,0,86,100,4.605170186,0,0.318177791,0.999989005,0.46454578,1
114,O4,2017,PCN,HC,WF,91,29.5,0.909090909,3838.603058,8.066149578,0.728922612,30.35544932,8.3,296,325.2747253,5.784670134,5,0.318177791,0.999989005,1,1
115,O5,2017,KON,HC,WF,88,30,1,1114.502674,1.842693996,1.837549227,24.60058227,8.9,25,28.40909091,3.346709196,0,0.209869704,0.999989005,0.402511353,1
116,O6,2017,KON,HC,WF,88,30,0.96,3865.976062,6.925124861,1.024111678,15.47638833,1.2,0,0,0,0,0.209869704,0.999989005,0.402511353,0.272331524
117,O9,2017,ARL,NP,IR,96,29.75,0.833333333,2743.194019,9.867515934,4.100913958,4.100913958,0,110,114.5833333,4.74130236,1,1,1,1,1
118,P12,2017,ARL,NP,IR,94,30.5,0.65,3374.646008,4.4207129,1.420619381,12.06551771,20.5,103,109.5744681,4.696604392,1,0.042670873,0.102721367,1,0.148162934
119,P13,2017,ARL,NP,IR,95,30.66666667,0.8,3678.606219,6.392275071,1.319596071,12.0182477,7.06,112,117.8947368,4.769792165,0,0.042670873,0.102721367,0.46454578,0.148298314
120,P2,2017,PCN,HC,WF,87,31.33333333,0.80952381,4419.744293,7.122468948,6.383692588,13.46764637,0,76,87.35632184,4.469995408,0,0.318177791,0.999989005,0.402511353,0.049086343
121,P3,2017,PCN,HC,IR,86,30.66666667,0.96,2171.360492,7.74779,7.201622482,17.00307978,0,14,16.27906977,2.78988022,0,0.318177791,0.999989005,0.46454578,1
122,P4,2017,KON,HC,IR,83,30.83333333,0.826086957,2775.761481,8.368654034,0.077376864,22.0122371,0,387,466.2650602,6.144754271,0,0.209869704,0.999989005,0.46454578,1
123,P5,2017,KON,HC,WF,89,31,0.913043478,1172.296973,5.285583517,8.45147183,18.1019373,0,22,24.71910112,3.207576269,0,0.190541045,0.999989005,0.379157182,1
124,P6,2017,KON,HC,WF,89,30.66666667,0.92,4185.602463,6.804735125,10.79910242,11.05399951,0,34,38.20224719,3.642894341,1,0.190541045,0.999989005,1,1
125,P7,2017,KON,HC,IR,87,30.66666667,1,1878.668039,4.208399092,3.509355532,3.713922835,7.5,21,24.13793103,3.183784505,2,1,0.999989005,1,1
126,P9,2017,ARL,NP,IR,93,31,0.833333333,1062.290015,3.51974225,1.810662108,1.810662108,8.4,65,69.89247312,4.246957963,0,1,1,0.46454578,1
127,Q5,2017,KON,HC,WF,88,31.75,0.818181818,4458.102014,7.648231231,2.308820726,13.71714923,0,32,36.36363636,3.593569274,0,0.209869704,0.999989005,0.402511353,1
128,Q6,2017,KON,HC,WF,88,31.75,0.875,3726.627777,6.084559144,3.13970783,4.344154685,3.6,49,55.68181818,4.01965367,0,0.190541045,0.999989005,0.379157182,1
129,Q8,2017,ARL,NP,IR,93,32,0.631578947,1090.388397,3.644322658,1.283014862,1.283014862,6.22666667,27,29.03225806,3.368407559,0,1,1,0.46454578,1
130,Q9,2017,ARL,NP,WF,93,32,0.72,3275.460236,6.137049913,0.248282367,7.496518229,2.375,34,36.55913978,3.598931217,0,0.042670873,0.102721367,0.402511353,0.148027595
131,R8,2017,ARL,NP,WF,93,33.25,0.72,3413.862033,3.777885866,0.487586302,7.508679344,5.4875,76,81.72043011,4.403304033,0,0.042670873,0.102721367,0.402511353,1
132,G16,2018,TDM,HC,IR,113,19.5,0.947368421,1023.817993,8.033325282,3.398477558,3.507863073,2.26153846,20,17.69911504,2.873514641,0,1,1,0.46454578,0.044909362
133,H16,2018,TDM,HC,IR,113,21,1,1090.977014,4.905042389,3.292324849,2.640817991,2.52857143,3,2.654867257,0.976394656,0,1,1,0.46454578,1
134,H17,2018,TDM,HC,WF,113,20.5,1,3693.161877,7.074023953,0.430999451,5.805142593,7.87142857,50,44.24778761,3.789805373,3,1,0.001703429,1,1
135,K3,2018,SIN,HC,IR,108,26.5,0.913043478,1525.522589,1.282497782,0.538117987,5.597702712,11.38571429,4,3.703703704,1.30933332,0,0.717386881,0.001703429,0.46454578,0.048096182
136,K4,2018,SIN,HC,WF,108,26.5,0.909090909,3011.424713,5.29213593,5.230824569,7.477475401,9.15,11,10.18518519,2.320934232,0,0.717386881,0.001703429,0.402511353,1
137,K5,2018,SIN,HC,WF,107,26,0.84,3857.756995,6.909763862,0.047747842,12.72798803,4.88333333,86,80.37383178,4.386688648,0,0.717386881,0.001703429,0.402511353,1
138,L3,2018,SIN,HC,IR,108,27,1,1283.907959,2.910808808,7.04361435,12.35112939,0,9,8.333333333,2.120263536,0,0.717386881,0.001703429,0.46454578,0.048096182
139,L4,2018,SIN,HC,IR,107,27,0.92,2132.251099,2.871990013,10.77915719,16.55107494,0,16,14.95327103,2.704930074,0,0.717386881,0.001703429,0.46454578,0.048001646
140,L5,2018,SIN,HC,IR,108,26.75,0.84,2987.397998,2.375302052,1.023188431,20.26706638,0,23,21.2962963,3.058533175,0,0.717386881,0.001703429,0.46454578,1
141,L6,2018,ARL,NP,WF,79,26.75,0.92,3276.014978,1.029170036,4.812948713,18.03887717,5.83333333,39,49.36708861,3.89928398,0,0.648238583,5.91E-44,0.450467556,0.113327076
142,L9,2018,PAG,HC,IR,106,27,0.8,1135.48501,1.557798004,4.555113743,3.952765699,2.87142857,10,9.433962264,2.244316185,0,1,1,0.46454578,1.88E-06
143,M10,2018,PAG,HC,WF,19,28,0.92,1445.34502,7.608451021,5.441562417,6.810526837,3.075,4,21.05263158,3.047025568,0,0.652661574,0.050060685,0.54826888,1
144,M11,2018,PAG,HC,WF,77,27.5,0.818181818,1294.933289,6.909983398,2.369700671,2.053752023,8.58333333,17,22.07792208,3.094578108,0,1,0.004526195,0.47485457,1
145,M3,2018,SIN,HC,WF,108,28,0.842105263,4382.074728,5.370358038,0.082415366,15.86781189,21.73333333,87,80.55555556,4.388947078,0,1,0.001703429,0.402511353,1
146,M4,2018,SIN,HC,IR,107,28,0.8,3429.356003,7.9620709,4.862164076,25.01287557,5.13333333,71,66.35514019,4.195021229,0,0.717386881,0.001703429,0.46454578,1
147,M5,2018,SIN,HC,IR,108,28,0.92,1759.140015,2.986676025,1.598859056,29.26082524,0,16,14.81481481,2.695627681,0,0.717386881,0.001703429,0.46454578,0.048096182
148,M6,2018,ARL,NP,WF,107,28,0.92,2731.692728,1.663353014,7.969067039,27.61888516,0,36,33.64485981,3.51586029,0,0.615096743,1.48E-54,0.402511353,0.065537297
149,M7,2018,ARL,NP,WF,114,27.83333333,0.84,3146.099369,2.474185991,4.035378288,22.16596812,0,23,20.1754386,3.004465954,0,0.615096743,1.48E-54,0.402511353,1
150,M8,2018,ARL,NP,IR,115,28.25,0.84,4449.02403,6.16947,2.255831941,15.86068982,10.61666667,25,21.73913043,3.079113882,0,0.615096743,1.48E-54,0.46454578,0.066288594
151,M9,2018,PAG,HC,BO,105,28,0.72,4750.111456,5.808549851,1.247682903,10.51604763,4.81666667,76,72.38095238,4.281943176,1,0.30846173,0.00277764,1,1
152,N10,2018,ARL,NP,WF,114,28.5,0.76,4963.869556,7.701281018,2.54667145,10.91363725,6.6125,48,42.10526316,3.740172749,0,0.615096743,1.48E-54,0.402511353,0.066194392
153,N11,2018,ARL,NP,IR,118,28.75,0.722222222,3109.309235,9.490559669,0.687372851,3.609753284,5.73125,105,88.98305085,4.488445912,6,1,1.48E-54,1,1
154,N16,2018,KND,HC,IR,29,28.5,0.818181818,372.676001,3.23761858,4.30180196,4.225170981,5.55714286,4,13.79310345,2.624168717,0,1,0.031273926,0.557202299,0.596826804
155,N5,2018,ARL,NP,WF,108,28.75,0.92,2996.903708,4.757599586,0.792549466,28.44273234,34.7,59,54.62962963,4.000576403,0,0.615096743,1.48E-54,0.402511353,1
156,N6,2018,ARL,NP,WF,84,29,0.88,501.6563641,5.460214812,8.89130784,20.32105449,0,8,9.523809524,2.253794929,0,0.648238583,5.91E-44,0.450467556,0.113936078
157,N7,2018,ARL,NP,IR,114,29,0.92,1736.981388,5.46697677,9.922356642,13.8752776,0,25,21.92982456,3.087847562,0,0.615096743,1.48E-54,0.46454578,0.066194392
158,N8,2018,ARL,NP,WF,115,29,0.96,1270.000299,2.921923018,10.89612629,10.89612629,0.7,27,23.47826087,3.156074924,0,0.615096743,1.48E-54,0.402511353,0.066288594
159,N9,2018,ARL,NP,IR,114,29,1,794.3437927,3.953443027,6.193973506,13.35757394,6.8,35,30.70175439,3.424319799,1,0.615096743,1.48E-54,0.46454578,1
160,O1,2018,PCN,HC,IR,106,30.33333333,0.84,3643.54397,6.291391981,8.095400949,7.709668733,0,84,79.24528302,4.372547891,1,0.740854896,0.001703429,1,1
161,O10,2018,ARL,NP,WF,112,29.75,0.8,2338.650116,8.403952226,6.870874414,11.23497854,13.7,78,69.64285714,4.243380141,1,1,1.48E-54,1,1
162,O11,2018,ARL,NP,WF,115,29.5,0.833333333,2004.288977,6.917101824,4.390514205,4.390514205,11.89230769,30,26.08695652,3.261435439,0,1,1.48E-54,0.402511353,0.052102307
163,O12,2018,ARL,NP,IR,115,29.5,0.764705882,2272.531165,4.367150623,3.541267632,3.541267632,3.55714286,46,40,3.688879454,0,1,1.48E-54,0.46454578,1
164,O13,2018,ARL,NP,IR,115,30,0.947368421,1098.277002,9.515088731,1.346688993,3.409476499,0.8,19,16.52173913,2.804677037,0,0.615096743,1.48E-54,0.46454578,0.066288594
165,O14,2018,KKN,HC,WF,117,30,0.75,1541.430029,9.275020003,4.631761797,4.624860734,7.025,228,194.8717949,5.27234188,3,1,1,1,1
166,O15,2018,KND,HC,IR,116,29.25,0.72,1509.752954,14.9536425,0.528357287,4.040806589,6.66153846,74,63.79310345,4.155645088,0,0.502960672,0.001703429,0.46454578,1
167,O16,2018,KND,HC,IR,116,29,0.92,3474.929016,4.490804717,9.03512771,8.869682772,4.6,23,19.82758621,2.987074211,0,1,0.001703429,0.46454578,1
168,O17,2018,KND,HC,WF,117,29,1,3795.950928,8.595600873,1.713697135,17.05504188,5.95,109,93.16239316,4.534344133,0,1,0.001703429,0.379157182,1
169,O2,2018,PCN,HC,WF,106,30,1,3226.568329,4.67315948,5.758921509,16.70995627,0,36,33.96226415,3.52525003,0,0.740854896,0.001703429,0.402511353,0.010202502
170,O3,2018,PCN,HC,IR,106,30,0.92,5108.444531,5.723229536,3.813880102,25.96568002,0,120,113.2075472,4.729222835,0,0.740854896,0.001703429,0.46454578,1
171,O4,2018,KON,HC,WF,29,29.5,0.909090909,3838.603058,8.066149578,0.728922612,30.35544932,7.6375,2,6.896551724,1.931021537,0,0.740465728,0.031273926,0.54826888,1
172,O5,2018,KON,HC,IR,109,30,1,1114.502674,1.842693996,1.837549227,24.60058227,0,64,58.71559633,4.072705387,1,0.716046291,0.001703429,1,1
173,O7,2018,ARL,NP,IR,114,30,0.96,2375.409515,5.455295584,0.022684362,6.465100673,5.55,41,35.96491228,3.582543804,1,0.615096743,1.48E-54,1,1
174,O8,2018,ARL,NP,WF,30,29.33333333,0.875,2818.004315,5.890724158,2.515814792,2.515814792,4.8125,16,53.33333333,3.976561527,0,1,9.40E-23,0.54826888,1
175,O9,2018,ARL,NP,IR,90,29.75,0.833333333,2743.194019,9.867515934,4.100913958,4.100913958,5.27777778,22,24.44444444,3.196402969,0,0.615096743,1.48E-54,0.46454578,0.063958421
176,P1,2018,PCN,HC,WF,28,31.14285714,0.791666667,3115.400024,2.959403968,4.785136489,4.553669009,0,6,21.42857143,3.064725145,0,0.748422821,0.031273926,0.54826888,1
177,P12,2018,ARL,NP,WF,115,30.5,0.65,3374.646008,4.4207129,1.420619381,12.06551771,6.43888889,186,161.7391304,5.085984731,1,0.615096743,1.48E-54,1,1
178,P13,2018,ARL,NP,WF,86,30.66666667,0.8,3678.606219,6.392275071,1.319596071,12.0182477,14.6,82,95.34883721,4.557542137,0,1,5.91E-44,0.450467556,1
179,P14,2018,KKN,HC,WF,116,30.44444444,0.8,5355.588159,8.653134036,2.143172565,13.80560987,12.946875,98,84.48275862,4.436547474,2,0.108130272,0.001703429,1,1
180,P15,2018,KND,HC,IR,117,30.33333333,0.76,4248.01355,9.452476171,0.832220934,13.56211405,14.29333333,144,123.0769231,4.812809551,1,1,0.001703429,1,1
181,P16,2018,KND,HC,IR,117,30,0.92,4544.666614,7.799501665,2.445366833,16.12145401,2.8,100,85.47008547,4.448166437,0,1,0.001703429,0.44916779,1
182,P2,2018,PCN,HC,IR,28,31.33333333,0.80952381,4419.744293,7.122468948,6.383692588,13.46764637,0,26,92.85714286,4.531062214,2,0.748422821,0.031273926,1,1
183,P3,2018,PCN,HC,IR,78,30.66666667,0.96,2171.360492,7.74779,7.201622482,17.00307978,0,61,78.20512821,4.359335224,0,0.743393903,0.004526195,0.495475522,1
184,P4,2018,KON,HC,IR,109,30.83333333,0.826086957,2775.761481,8.368654034,0.077376864,22.0122371,0,335,307.3394495,5.727952835,5,0.716046291,0.001703429,1,1
185,P5,2018,KON,HC,WF,109,31,0.913043478,1172.296973,5.285583517,8.45147183,18.1019373,1.23333333,42,38.53211009,3.651491922,0,0.716046291,0.001703429,0.402511353,1
186,P6,2018,KON,HC,IR,109,30.66666667,0.92,4185.602463,6.804735125,10.79910242,11.05399951,6.1,62,56.88073394,4.040956689,0,0.716046291,0.001703429,0.46454578,1
187,P7,2018,KON,HC,WF,109,30.66666667,1,1878.668039,4.208399092,3.509355532,3.713922835,2,48,44.03669725,3.785023315,0,0.716046291,0.001703429,0.402511353,0.006217282
188,Q1,2018,PCS,HC,IR,108,32.5,0.923076923,0,1.375582111,2.855024446,2.693534615,0.5,11,10.18518519,2.320934232,0,0.666738417,0.001703429,0.46454578,1
189,Q2,2018,PCS,HC,IR,108,32.5,0.92,2396.155307,4.280804074,3.358085245,4.720476495,5.72,12,11.11111111,2.407945609,0,0.666738417,0.001703429,0.46454578,1
190,Q3,2018,PCS,HC,WF,29,32.25,0.88,4659.14332,8.226813302,2.694403774,8.186401823,6.98333333,2,6.896551724,1.931021537,0,0.725365807,0.031273926,0.54826888,1
191,Q4,2018,PCS,HC,IR,109,32,0.84,5600.945972,8.826879335,1.723202404,14.19265366,1.3,41,37.6146789,3.62739437,2,1,0.001703429,1,1
192,Q5,2018,KON,HC,IR,109,31.75,0.818181818,4458.102014,7.648231231,2.308820726,13.71714923,0,73,66.97247706,4.204281745,1,0.716046291,0.001703429,1,1
193,Q6,2018,KON,HC,WF,109,31.75,0.875,3726.627777,6.084559144,3.13970783,4.344154685,3.53333333,130,119.266055,4.781356754,0,1,0.001703429,0.402511353,1
194,Q9,2018,ARL,NP,IR,115,32,0.72,3275.460236,6.137049913,0.248282367,7.496518229,4.99166667,481,418.2608696,6.036105328,0,1,1.48E-54,0.46454578,1
195,R3,2018,PCS,HC,IR,107,33.33333333,0.933333333,2108.335986,2.038700211,2.268248396,1.91792847,8.00344828,54,50.46728972,3.921325398,1,0.666738417,0.001703429,1,1
196,R4,2018,PCS,HC,IR,107,33.5,0.84,2560.583984,5.454418576,5.556125568,5.200514804,12.45,26,24.29906542,3.19043789,1,1,0.001703429,1,0.224961863
197,R5,2018,PCS,HC,WF,107,33.5,0.92,1369.983911,5.501115145,0.7490661,12.17777817,5.28181818,30,28.03738318,3.333538733,0,0.666738417,0.001703429,0.402511353,0.258015285
198,R6,2018,PAS,HC,IR,109,33.25,0.761904762,2395.886877,6.009304323,4.810296457,8.067861715,9.1,41,37.6146789,3.62739437,1,0.008757105,0.001703429,1,1
199,R8,2018,ARL,NP,WF,115,33.25,0.72,3413.862033,3.777885866,0.487586302,7.508679344,5.41111111,58,50.43478261,3.920681068,0,1,1.48E-54,0.402511353,1
200,S4,2018,PAS,HC,IR,110,35,0.636363636,603.2987823,0.457740021,1.517699934,1.2472376,2.85,8,7.272727273,1.984131362,0,1,1,0.46454578,1
201,S5,2018,PAS,HC,WF,110,34.5,0.76,2210.018005,1.983192015,7.783125861,8.412707358,11.58,40,36.36363636,3.593569274,0,1,1,0.402511353,1
202,S6,2018,PAS,HC,IR,110,34.25,0.68,4923.502991,6.342614607,2.28279689,16.30873601,2.99,31,28.18181818,3.338677025,1,0.008757105,0.001703429,1,0.401132313
203,T5,2018,PAS,HC,WF,110,35,0.761904762,3738.636963,3.004170012,0.621698086,3.756389904,9.04,9,8.181818182,2.101914398,0,1,0.001703429,0.402511353,0.30374394
204,T6,2018,PAS,HC,WF,110,35,0.8,2878.465991,6.062987617,2.38124869,9.937176306,10.48888889,30,27.27272727,3.305887202,0,0.008757105,0.001703429,0.402511353,0.401132313
